,gameID,teamID,total_rush,total_pass,total_punt,total_ko,total_pat,total plays,,,,,,,
522,GT103021,VIS,53,25,4,7,2,91,,,,,,,
523,GT103021,GT,30,26,5,4,2,67,,,,,,,
524,GT110621,GT,32,38,8,5,4,87,,,,,,,
525,GT110621,UM,42,34,2,7,3,88,,,,,,,
526,GT111321,BC,38,20,2,8,5,73,,,,,,,
527,GT111321,GT,40,29,1,6,4,80,,,,,,,
528,GT112021,GT,35,28,10,1,0,74,,,,,,,
529,GT112021,ND,33,26,3,10,7,79,,,,,,,
530,GT112721,BULLDOGS,31,20,1,8,6,66,,,,,,,
531,GT112721,GT,35,16,7,1,0,59,,,,,,,
Total,,,21937,14023,2477,2725,1622,42784,,,,,,,
,,,0.512738407,0.327762715,0.057895475,0.063692034,0.037911369,1,,,,,,,
