"ID";"Down";"ToGo";"Spot";"Text";"Quarter";"GameID";"PlayNum";"PlayID";"HasBall";"Type";"active";"Clock"
"16351";"1";"0";"H35";"1st & GOAL at GT35: Shawn Davis kickoff 65 yards to the DUKE0, Joe Reed return 17 yards to the DUKE17 (Victor Alexander).";"4";"6019";"153";"16,15,153";"H";"K";"ACTIVE";
"16352";"1";"10";"V17";"1st & 10 at DUKE17: VIRGINIA drive start at 12:22.";"4";"6019";"154";"17,1,154";"V";;"ACTIVE";
"16353";"1";"10";"V17";"1st & 10 at DUKE17: Bryce Perkins pass complete to Olamide Zaccheaus for 9 yards to the DUKE26 (Brant Mitchell).";"4";"6019";"155";"17,2,155";"V";"P";"ACTIVE";
"16354";"2";"1";"V26";"2nd & 1 at DUKE26: Bryce Perkins rush for 5 yards to the DUKE31, 1ST DOWN DUKE (Antwan Owens).";"4";"6019";"156";"17,3,156";"V";"R";"ACTIVE";
"16355";"1";"10";"V31";"1st & 10 at DUKE31: Lamont Atkins rush for 7 yards to the DUKE38 (Malik Rivera).";"4";"6019";"157";"17,4,157";"V";"R";"ACTIVE";
"16356";"2";"3";"V38";"2nd & 3 at DUKE38: Bryce Perkins rush for 2 yards to the DUKE40 (Malik Rivera).";"4";"6019";"158";"17,5,158";"V";"R";"ACTIVE";
"16357";"3";"1";"V40";"3rd & 1 at DUKE40: Jordan Ellis rush for 2 yards to the DUKE42, 1ST DOWN DUKE (Antwan Owens).";"4";"6019";"159";"17,6,159";"V";"R";"ACTIVE";
"16358";"1";"10";"V42";"1st & 10 at DUKE42: Bryce Perkins pass complete to Olamide Zaccheaus for 12 yards to the GT46, 1ST DOWN DUKE (Ajani Kerr).";"4";"6019";"160";"17,7,160";"V";"P";"ACTIVE";
"16359";"1";"10";"H46";"1st & 10 at GT46: Bryce Perkins pass complete to Hasise Dubois for 12 yards to the GT34, 1ST DOWN DUKE (Ajani Kerr).";"4";"6019";"161";"17,8,161";"V";"P";"ACTIVE";
"16363";"1";"10";"H22";"1st & 10 at GT22: Bryce Perkins pass complete to Hasise Dubois for 8 yards to the GT14 (Tariq Carpenter).";"4";"6019";"165";"17,12,165";"V";"P";"ACTIVE";
